Time,Fat,Weight,Calories,Carbs,Fat,Fiber,Protein,Sodium
2019-08-13,41.3,353.4,2990,409,41.3,39,100,4850
2019-08-15,41.3,349.2,2787,251,41.3,26,106,3990
2019-08-18,41.3,349.0,2461,275,41.3,18,93,3193
2019-08-19,41.3,349.0,2858,341,41.3,10,103,3588
2019-08-20,41.3,351.8,4141,577,41.3,17,118,4944
2019-08-21,41.3,351.8,2760,337,41.3,42,141,4846
2019-08-23,41.3,352.6,2993,393,41.3,52,136,4769
2019-08-25,41.3,350.4,2742,356,41.3,26,121,5746
2019-08-26,41.3,349.0,2523,324,41.3,40,106,5312
2019-08-27,41.3,348.6,2733,370,41.3,43,87,4807
2019-08-28,41.3,347.2,3830,479,41.3,50,163,7207
2019-08-29,41.3,346.8,4591,583,41.3,43,189,6712
2019-08-30,41.3,346.0,3303,508,41.3,55,143,6552
2019-08-31,41.3,346.0,2732,422,41.3,62,99,4030
2019-09-01,41.3,345.0,3085,511,41.3,72,100,4137
2019-09-02,41.3,343.0,3205,495,41.3,33,111,3486
2019-09-03,41.3,343.0,4965,718,41.3,26,70,5115
2019-09-04,41.3,343.4,5350,629,41.3,26,189,12268
2019-09-05,41.3,342.8,3103,388,41.3,11,79,3178
2019-09-06,41.3,342.2,2267,316,41.3,61,115,3764
