Time,Heart Rate
00:00:00,57
00:00:05,56
00:00:15,55
00:00:20,53
00:00:35,54
00:00:40,56
00:00:45,57
00:00:50,55
00:01:05,55
00:01:15,54
00:01:20,55
00:01:25,57
00:01:30,61
00:01:35,60
00:01:40,58
00:01:50,57
00:01:55,54
00:02:00,54
00:02:10,55
00:02:15,57
00:02:30,57
00:02:45,57
00:03:00,57
00:03:05,59
00:03:10,61
00:03:15,63
00:03:25,63
00:03:30,62
00:03:35,60
00:03:40,58
00:03:45,57
00:03:50,55
00:03:55,55
00:04:00,57
00:04:05,58
00:04:10,57
00:04:20,58
00:04:25,57
00:04:40,57
00:04:55,56
00:05:10,55
00:05:15,54
00:05:25,54
00:05:30,54
00:05:45,54
00:06:00,55
00:06:15,54
00:06:20,53
00:06:35,53
00:06:45,54
00:07:00,54
00:07:05,53
00:07:10,52
00:07:15,51
00:07:25,53
00:07:40,53
00:07:45,55
00:07:50,56
00:07:55,55
00:08:05,54
00:08:10,54
00:08:15,54
00:08:20,54
00:08:25,54
00:08:30,54
00:08:40,54
00:08:50,54
00:09:05,54
00:09:12,55
00:09:17,55
00:09:22,54
00:09:27,54
00:09:37,55
00:09:47,55
00:09:52,56
00:09:57,57
00:10:07,55
00:10:17,55
00:10:32,55
00:10:37,63
00:10:42,61
00:10:47,59
00:10:52,57
00:11:02,56
00:11:17,56
00:11:22,59
00:11:27,60
00:11:42,60
00:11:52,63
00:11:57,69
00:12:02,71
00:12:07,70
00:12:16,67
00:12:21,66
00:12:26,65
00:12:31,64
00:12:36,63
00:12:46,62
00:13:01,62
00:13:06,61
00:13:11,61
00:13:21,59
00:13:31,59
00:13:41,61
00:13:46,62
00:13:51,60
00:13:56,59
00:14:01,61
00:14:06,60
00:14:11,59
00:14:16,57
00:14:21,57
00:14:26,58
00:14:31,57
00:14:36,55
00:14:41,54
00:14:51,53
00:14:56,53
00:15:01,52
00:15:06,52
00:15:11,54
00:15:26,55
00:15:31,54
00:15:41,57
00:15:46,60
00:15:51,61
00:15:56,60
00:16:01,59
00:16:06,58
00:16:11,57
00:16:16,56
00:16:21,55
00:16:26,54
00:16:31,53
00:16:36,52
00:16:46,51
00:16:56,52
00:17:11,53
00:17:16,52
00:17:26,51
00:17:36,50
00:17:41,49
00:17:46,50
00:17:56,51
00:18:11,51
00:18:26,52
00:18:31,52
00:18:36,59
00:18:46,58
00:18:56,57
00:19:01,55
00:19:06,54
00:19:11,53
00:19:16,52
00:19:21,51
00:19:26,50
00:19:36,49
00:19:46,50
00:19:51,51
00:20:06,52
00:20:16,51
00:20:31,52
00:20:36,51
00:20:46,52
00:20:51,53
00:21:01,54
00:21:11,55
00:21:16,69
00:21:21,72
00:21:26,69
00:21:31,68
00:21:36,67
