Time,Heart Rate
00:00:01,62
00:00:11,63
00:00:16,62
00:00:21,57
00:00:26,59
00:00:31,58
00:00:36,59
00:00:41,58
00:00:46,57
00:00:51,58
00:00:56,61
00:01:01,63
00:01:06,62
00:01:11,63
00:01:21,72
00:01:26,76
00:01:41,74
00:01:46,72
00:01:51,69
00:01:56,66
00:02:01,57
00:02:06,52
00:02:16,53
00:02:21,55
00:02:26,56
00:02:31,58
00:02:36,59
00:02:41,61
00:02:46,61
00:02:51,61
00:02:56,60
00:03:01,58
00:03:06,58
00:03:11,59
00:03:21,60
00:03:26,59
00:03:36,60
00:03:41,59
00:03:46,55
00:03:51,53
00:04:01,54
00:04:06,56
00:04:11,60
00:04:16,59
00:04:21,58
00:04:26,57
00:04:31,58
00:04:41,57
00:04:46,56
00:04:51,54
00:05:01,52
00:05:11,56
00:05:16,57
00:05:21,56
00:05:31,57
00:05:41,55
00:05:46,54
00:05:51,53
00:05:56,51
00:06:01,50
00:06:06,51
00:06:11,54
00:06:16,55
00:06:26,56
00:06:41,55
00:06:46,53
00:06:51,52
00:06:56,51
00:07:01,50
00:07:11,51
00:07:16,54
00:07:21,58
00:07:36,59
00:07:41,58
00:07:51,57
00:07:56,54
00:08:11,53
00:08:16,53
00:08:21,53
00:08:26,51
00:08:31,50
00:08:41,49
00:08:51,50
00:08:56,53
00:09:06,52
00:09:11,51
00:09:21,50
00:09:31,51
00:09:46,54
00:09:56,54
00:10:01,53
00:10:11,51
00:10:16,50
00:10:31,50
00:10:36,51
00:10:41,54
00:10:46,53
00:10:51,51
00:10:56,50
00:11:01,51
00:11:11,50
00:11:26,50
00:11:31,52
00:11:36,53
00:11:41,52
00:11:46,51
00:11:51,50
00:12:01,49
00:12:16,49
00:12:21,50
00:12:26,51
00:12:31,50
00:12:46,50
00:13:01,50
00:13:16,50
00:13:31,49
00:13:46,50
00:13:51,53
00:13:56,54
00:14:01,55
00:14:11,54
00:14:16,53
00:14:21,51
00:14:31,50
00:14:46,50
00:15:01,50
00:15:06,54
00:15:21,54
00:15:26,55
00:15:31,54
00:15:36,53
00:15:41,52
00:15:48,51
00:15:53,50
00:16:08,50
00:16:13,49
00:16:28,50
00:16:43,50
00:16:58,50
00:17:13,50
00:17:23,49
00:17:38,49
00:17:53,50
00:17:58,49
00:18:13,49
00:18:28,50
00:18:43,50
00:18:48,49
00:19:03,49
00:19:08,51
00:19:13,50
00:19:28,50
00:19:38,56
00:19:43,56
00:19:48,53
00:19:53,52
00:19:58,51
00:20:07,51
00:20:17,52
00:20:27,53
00:20:42,53
00:20:57,54
00:21:12,54
00:21:17,53
00:21:27,54
00:21:42,55
00:21:52,57
00:22:02,55
00:22:07,58
00:22:12,57
00:22:17,56
00:22:22,55
00:22:27,56
00:22:32,58
00:22:37,60
00:22:42,62
00:22:57,61
00:23:02,58
00:23:12,58
00:23:17,58
00:23:27,59
00:23:32,57
00:23:42,56
00:23:47,55
00:23:52,54
00:24:07,57
00:24:12,58
00:24:17,54
00:24:22,56
00:24:27,55
00:24:32,56
00:24:37,59
00:24:42,61
00:24:52,59
00:24:57,59
00:25:02,57
00:25:07,54
00:25:12,55
00:25:17,57
00:25:22,59
00:25:37,59
00:25:52,60
00:26:07,61
00:26:17,59
00:26:27,58
00:26:42,59
00:26:57,59
00:27:07,58
00:27:17,59
00:27:22,60
00:27:27,58
00:27:32,58
00:27:37,55
00:27:42,56
00:27:47,57
00:27:52,59
00:27:57,60
00:28:07,61
00:28:22,61
00:28:27,60
00:28:42,60
00:28:52,59
00:29:02,60
00:29:07,59
00:29:22,60
00:29:32,62
00:29:37,61
00:29:42,60
00:29:57,60
00:30:02,59
00:30:07,54
00:30:12,55
00:30:17,56
00:30:22,57
00:30:32,58
00:30:37,59
00:30:42,60
00:30:47,61
00:30:52,62
00:30:57,61
00:31:02,60
00:31:07,59
00:31:12,60
00:31:17,62
00:31:22,63
00:31:37,66
00:31:42,64
00:31:47,61
00:32:02,59
00:32:07,54
00:32:17,55
00:32:22,57
00:32:27,56
00:32:32,58
00:32:37,59
00:32:42,61
00:32:47,64
00:32:52,65
00:32:57,66
00:33:02,65
00:33:07,66
00:33:12,63
00:33:17,56
00:33:32,54
00:33:37,52
00:33:42,52
00:33:52,53
00:33:57,54
00:34:02,53
00:34:07,56
00:34:12,62
00:34:17,63
00:34:22,62
