Time,State,Interpreted
22:58:30,2,Awake
22:59:30,2,Awake
23:00:30,2,Awake
23:01:30,3,Very Awake
23:02:30,2,Awake
23:03:30,1,Asleep
23:04:30,1,Asleep
23:05:30,1,Asleep
23:06:30,1,Asleep
23:07:30,1,Asleep
23:08:30,1,Asleep
23:09:30,1,Asleep
23:10:30,1,Asleep
23:11:30,1,Asleep
23:12:30,1,Asleep
23:13:30,1,Asleep
23:14:30,1,Asleep
23:15:30,1,Asleep
23:16:30,2,Awake
23:17:30,1,Asleep
23:18:30,1,Asleep
23:19:30,1,Asleep
23:20:30,1,Asleep
23:21:30,1,Asleep
23:22:30,1,Asleep
23:23:30,1,Asleep
23:24:30,1,Asleep
23:25:30,1,Asleep
23:26:30,1,Asleep
23:27:30,1,Asleep
23:28:30,1,Asleep
23:29:30,2,Awake
23:30:30,1,Asleep
23:31:30,1,Asleep
23:32:30,1,Asleep
23:33:30,1,Asleep
23:34:30,1,Asleep
23:35:30,1,Asleep
23:36:30,1,Asleep
23:37:30,1,Asleep
23:38:30,1,Asleep
23:39:30,1,Asleep
23:40:30,1,Asleep
23:41:30,1,Asleep
23:42:30,1,Asleep
23:43:30,1,Asleep
23:44:30,1,Asleep
23:45:30,1,Asleep
23:46:30,1,Asleep
23:47:30,1,Asleep
23:48:30,1,Asleep
23:49:30,1,Asleep
23:50:30,1,Asleep
23:51:30,1,Asleep
23:52:30,1,Asleep
23:53:30,1,Asleep
23:54:30,1,Asleep
23:55:30,1,Asleep
23:56:30,1,Asleep
23:57:30,1,Asleep
23:58:30,1,Asleep
23:59:30,1,Asleep
00:00:30,1,Asleep
00:01:30,1,Asleep
00:02:30,1,Asleep
00:03:30,1,Asleep
00:04:30,1,Asleep
00:05:30,1,Asleep
00:06:30,1,Asleep
00:07:30,1,Asleep
00:08:30,1,Asleep
00:09:30,1,Asleep
00:10:30,1,Asleep
00:11:30,1,Asleep
00:12:30,1,Asleep
00:13:30,1,Asleep
00:14:30,1,Asleep
00:15:30,1,Asleep
00:16:30,1,Asleep
00:17:30,1,Asleep
00:18:30,1,Asleep
00:19:30,1,Asleep
00:20:30,1,Asleep
00:21:30,2,Awake
00:22:30,2,Awake
00:23:30,2,Awake
00:24:30,1,Asleep
00:25:30,1,Asleep
00:26:30,1,Asleep
00:27:30,1,Asleep
00:28:30,1,Asleep
00:29:30,1,Asleep
00:30:30,1,Asleep
00:31:30,1,Asleep
00:32:30,1,Asleep
00:33:30,1,Asleep
00:34:30,1,Asleep
00:35:30,1,Asleep
00:36:30,1,Asleep
00:37:30,1,Asleep
00:38:30,1,Asleep
00:39:30,1,Asleep
00:40:30,1,Asleep
00:41:30,1,Asleep
00:42:30,1,Asleep
00:43:30,1,Asleep
00:44:30,1,Asleep
00:45:30,1,Asleep
00:46:30,1,Asleep
00:47:30,1,Asleep
